"OBJECTID","CNN","STREETNAME","FROM_ST","TO_ST","FACILITY_T","DIRECT","SURFACE_TR","BARRIER","NOTES","DIR","DOUBLE","FY","QTR","STREET_","LENGTH","NUMBER_","INSTALL_MO","UPDATE_YR","UPDATE_MO","INSTALL_YR","GLOBALID","SYMBOLOGY","SHARROW","BUFFERED","RAISED","CONTRAFLOW","GREENWAVE","BIAP","SM_SWEEPER","shape","RECOMMENDATION"
"3748","7047000","HOWARD ST","7TH ST","LANGTON ST","CLASS IV","1W","GREEN PAINT","PARKING; SAFE-HIT POSTS",,"W","0","0","0","Howard St","0.04139537","30",,"2,018","12","1997",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","N/A","LINESTRING (-122.409387006 37.777977087, -122.40992265 37.77755341)","3"
"74","10563000","POLK ST","POST ST","HEMLOCK ST","CLASS IV","2W","GREEN PAINT; GREEN-BACKED SHARROW","SAFE-HIT POSTS",,"N","0","0","0","Polk St","0.03160827","25",,"2,019","5","2004",,"SEPARATED BIKEWAY","1","NO","NO","NO","NO","NO","YES","LINESTRING (-122.419927948 37.786827527, -122.420019573 37.787280026)","3"
"7366","5455000","FELL ST","CENTRAL AVE","MASONIC AVE","CLASS IV","1W","GREEN PAINT","PARKING; SAFE-HIT POSTS",,"W","0","2,020",,"Fell St","0.09351094",,"8",,,"2020",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.444216183 37.773212067, -122.445902366 37.772995406)","3"
"1735","8756101","MARKET ST","PAGE ST","FRANKLIN ST","CLASS IV","2W","GREEN PAINT","SAFE-HIT POSTS",,"W","1","0","0","Market St","0.03431737","50",,"2,020","2","2003",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.420254279 37.774358675, -122.420698773 37.774007806)","3"
"1367","2153000","ALEMANY BLVD","INDUSTRIAL ST OFF RAMP","SAN BRUNO AVE","CLASS IV","2W","GREEN PAINT","SAFE-HIT POSTS",,"E","1","0","0","Alemany Blvd","0.04197622","45",,"2,021","1","2011",,"SEPARATED BIKEWAY","1","NO","NO","NO","NO","NO","NO","LINESTRING (-122.407434426 37.736021749, -122.407623298 37.73595297, -122.407880889 37.735903389, -122.408169098 37.735859113)","3"
"7365","5456000","FELL ST","MASONIC AVE","ASHBURY ST","CLASS IV","1W",,"PARKING; SAFE-HIT POSTS",,"W","0","2,020",,"Fell St","0.08844798",,"8",,,"2020",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.445902366 37.772995406, -122.447497245 37.772790454)","3"
"3713","781000","17TH ST","KANSAS ST","RHODE ISLAND ST","CLASS IV","2W",,"SAFE-HIT POSTS",,"E","0","2,017","3","17th St","0.05291216","0","3","2,024","6","2017",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.402563397 37.764781034, -122.403527035 37.76472287)","3"
"2228","13065000","VALENCIA ST","19TH ST","CUNNINGHAM PL","CLASS IV","2W","GREEN PAINT","PARKING; SAFE-HIT POSTS","CR implemented 8/2023; SR implemented 5/2025","S","1","0","0","Valencia St","0.0504113","45",,"2,025","5","1995",,"SEPARATED BIKEWAY","0","NO","NO","NO","YES","NO","NO","LINESTRING (-122.421425212 37.760101293, -122.421355417 37.759372454)","3"
"3644","2474000","CESAR CHAVEZ ST","MISSISSIPPI ST","MISSOURI ST","CLASS IV","2W","GREEN PAINT","SAFE-HIT POSTS",,"W","0","0","0","Cesar Chavez St","0.1080224","60",,"0",,"2012",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.393340266 37.749915158, -122.395307863 37.749803786)","3"
"145","7198000","INDIANA ST","23RD ST","25TH ST","CLASS IV","2W","GREEN PAINT","SAFE-HIT POSTS",,"S","1","0","0","Indiana St","0.17728525","7",,"2,019",,"2010",,"SEPARATED BIKEWAY","1","NO","NO","YES","NO","NO","YES","LINESTRING (-122.390921943 37.755213903, -122.390771079 37.753604363, -122.39068451 37.753450285, -122.390664067 37.753126328, -122.390682856 37.752663074)","3"
"11208","2758000","BATTERY ST","CLAY ST","MERCHANT ST","CLASS IV","1W",,"SAFE-HIT POSTS",,"S",,,,"Battery St","0.0303694",,"1",,,"2023",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.400342539 37.795018149, -122.400425891 37.795453497)","3"
"12174","8047201","LAKE MERCED BLVD","MIDDLEFIELD DR","WINSTON DR","CLASS IV","2W",,"CONCRETE; SAFE-HIT POSTS",,"W","0","0","0","Lake Merced Blvd","0.23765763","885","3",,,"2024",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.486552073 37.729585011, -122.485721843 37.729292401, -122.485404531 37.729019368, -122.484053165 37.727412415, -122.483864395 37.727019523)","3"
"3261","7049000","HOWARD ST","RAUSCH ST","SUMNER ST","CLASS IV","1W","GREEN PAINT","PARKING; SAFE-HIT POSTS",,"W","0","0","0","Howard St","0.03931133","30",,"2,018","12","2005",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","N/A","LINESTRING (-122.410505753 37.777092185, -122.411014418 37.776689833)","3"
"11851","14216000","MACALLA RD","NIMITZ DR","MACALLA CT","CLASS IV","2W",,"CONCRETE","No cline available; new construction; need update","S","1",,,"Macalla Rd","0.03676",,"1",,,"2023",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.369800876 37.811873618, -122.369149296 37.811743719)","3"
"930","370000","7TH ST","NATOMA ST","HOWARD ST","CLASS IV","1W","GREEN PAINT","PARKING; SAFE-HIT POSTS",,"N","0","2,017","4","7th St","0.04275555","23",,"2,017","5","2003",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.40993824 37.778416283, -122.409387006 37.777977087)","3"
"1559","7210000","INDUSTRIAL ST","I-280 CONNECTOR","101- NORTH ON-RAMP","CLASS IV","2W",,"SAFE-HIT POSTS",,"W","0","0","0","Industrial St","0.0277612","45",,"2,021","1","2005",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.407657695 37.737813255, -122.407788982 37.737777138, -122.408124579 37.737657378)","3"
"8646","3239201","BROTHERHOOD WAY","ALEMANY BLVD","ARCH ST","CLASS IV","2W",,"SAFE-HIT POSTS",,"W","0",,,"Brotherhood Wy","0.24622422",,,"2,021","5","1997",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.463030029 37.711422541, -122.463153182 37.711535032, -122.463788258 37.711961149, -122.464393442 37.712289375, -122.465024593 37.712461937, -122.46569669 37.712513826, -122.466955958 37.712482817, -122.467072691 37.712421871)","0"
"12161","8042000","LAKE MERCED BLVD","SKYLINE BLVD","BERKSHIRE WY","CLASS IV","2W",,"CONCRETE; SAFE-HIT POSTS",,"E","1","0","0","Lake Merced Blvd","0.06168489","885","3",,,"2024",,"SEPARATED BIKEWAY","0","NO","NO","YES","NO","NO","NO","LINESTRING (-122.499058976 37.731576071, -122.498229795 37.731376239, -122.498001637 37.731277833)","3"
"11852","14217000","MACALLA RD","MACALLA CT","YERBA BUENA RD","CLASS IV","2W",,"CONCRETE","No cline available; new construction; need update","S","1",,,"Macalla Rd","0.14152327",,"1",,,"2023",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.369149296 37.811743719, -122.368728649 37.811652669, -122.368440812 37.811554766, -122.368183346 37.811463036, -122.36794018 37.811339143, -122.367755051 37.811225566, -122.367658369 37.811185845, -122.367560845 37.811179406, -122.367289278 37.81119435, -122.366739204 37.811148501)","3"
"4567","4843000","DIVISION ST","SAN BRUNO AV","9TH ST","CLASS IV","2W","GREEN PAINT","PARKING",,"E","0","0","0","Division St","0.02022069","25",,"2,016","12","2000",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.405939204 37.76965901, -122.406213363 37.769462546)","3"
"437","407000","8TH ST","MINNA ST","NATOMA ST","CLASS IV","1W","GREEN PAINT","PARKING; SAFE-HIT POSTS",,"S","0","2,017","4","8th St","0.03557734","23",,"2,017","5","2003",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.412616667 37.77702642, -122.412157954 37.776660987)","3"
"154","7039001","HOWARD ST","4TH ST","5TH ST","CLASS IV","1W","GREEN PAINT","PARKING; SAFE-HIT POSTS",,"W",,"0","0","Howard St","0.17194499","30",,"2,019","3","1997",,"SEPARATED BIKEWAY","1","NO","NO","NO","NO","NO","YES","LINESTRING (-122.402708154 37.783259236, -122.404933347 37.781499509)","3"
"2661","12554201","THE EMBARCADERO","WASHINGTON ST","BROADWAY","CLASS IV","2W","GREEN PAINT","SAFE-HIT POSTS",,"N","0","0","0","The Embarcadero","0.21483667","20",,"2,022","3","2004",,"SEPARATED BIKEWAY","0","YES","NO","NO","NO","NO","NO","LINESTRING (-122.395406648 37.796687324, -122.397658168 37.79923908)","3"
"3489","9761000","OAK ST","DIVISADERO ST","BRODERICK ST","CLASS IV","1W","GREEN PAINT","CONCRETE; SAFE-HIT POSTS",,"E","0","0","0","Oak St","0.09234535","30",,"2,017","1","2013",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.4390886 37.772921982, -122.43742294 37.773133493)","3"
"2355","4846201","DIVISION ST","POTRERO AV","11TH ST","CLASS IV","2W","GREEN-BACKED SHARROWS","CONCRETE",,"W","0","0","0","Division St","0.16144612","50",,"2,017","5","2010",,"SEPARATED BIKEWAY","1","NO","NO","NO","NO","NO","YES","LINESTRING (-122.408007204 37.76924401, -122.408551358 37.769252189, -122.409257953 37.769220623, -122.409540431 37.769235056, -122.410756184 37.769422342, -122.410931088 37.769411191)","3"
"131","13055000","VALENCIA ST","CLINTON PARK","BROSNAN ST","CLASS IV","2W","GREEN PAINT","CONCRETE; SAFE-HIT POSTS",,"S","1","0","0","Valencia St","0.03621168","45",,"2,019","5","1999",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.422308302 37.769277686, -122.422258155 37.768754144)","3"
