"OBJECTID","ADDRESS","LOCATION","STREET","PLACEMENT","RACKS","SPACES","GLOBALID","INSTALL_YR","INSTALL_MO","LAT","LON","shape","data_as_of","data_loaded_at","analysis_neighborhood","supervisor_district"
"10104","739 BRYANT ST","Shared LLC","BRYANT","ROADWAY","5","10",,"2013","12","37.776873","-122.400921","POINT (-122.400920795 37.776873003)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","South of Market","6"
"20411","1466 Haight","Veganburg","Haight","SIDEWALK","2","4",,"2022","12",,,"POINT (-122.446361541 37.770088914)","2023 Feb 03 03:09:13 PM","2024 Jun 17 10:17:16 AM","Haight Ashbury","5"
"14394","118 2nd Street",,"2nd Street","SIDEWALK","4","8",,"2021","12",,,"POINT (-122.399490413 37.787753142)","2021 Dec 29 04:46:38 PM","2024 Jun 17 10:17:16 AM","Financial District/South Beach","6"
"11024","711 MARKET ST","Del Taco","MARKET","SIDEWALK","1","2",,"2003","0","37.78702","-122.403677","POINT (-122.403676794 37.787020001)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Financial District/South Beach","6"
"12848","2769 Lombard St","Pizzeria Avellino","Lombard St","SIDEWALK","2","4",,"2019","12","37.79850862","-122.446843","POINT (-122.446842999 37.79850862)","2020 Jan 31 02:21:37 PM","2024 Jun 17 10:17:16 AM","Marina","2"
"21320","2700 46","Sloat Garden Center","46","SIDEWALK","1","2",,"2023","10",,,"POINT (-122.504135852 37.736124092)","2023 Nov 13 03:39:45 PM","2024 Jun 17 10:17:16 AM","Sunset/Parkside","4"
"11283","535 IRVING ST","Hans Hibachi","IRVING","SIDEWALK","1","2",,"2005","0","37.763903","-122.46365","POINT (-122.463649788 37.763903008)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Inner Sunset","7"
"9195","388 GUERRERO ST","Ele Ela Nail Salon","GUERRERO","SIDEWALK","2","4",,"2015","8","37.764975","-122.424256","POINT (-122.424256374 37.764975308)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Mission","8"
"13609","7044 Fulton",,"Fulton","SIDEWALK","2","4",,"2020","7",,,"POINT (-122.507175087 37.771528919)","2020 Jun 19 04:23:31 PM","2024 Jun 17 10:17:16 AM","Outer Richmond","1"
"9975","2454 Noriega","Wells Fargo","NORIEGA","SIDEWALK","1","2",,"2016","8","37.753717","-122.489919","POINT (-122.489918605 37.75371673)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Sunset/Parkside","4"
"8630","1233 Noe Street","James Lick Middle School","Noe Street","SIDEWALK","1","2",,"2018","6","0","0","POINT (-122.43141046 37.749338081)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Noe Valley","8"
"11746","709 FILLMORE ST","Alamo Square Café","FILLMORE","SIDEWALK","1","2",,"2015","9","37.775922","-122.431304","POINT (-122.431303863 37.775922301)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Hayes Valley","5"
"20479","355 Buena Vista Ave E",,"Buena Vista Ave E","SIDEWALK","1","2",,"2023","1",,,"POINT (-122.44036417 37.767386868)","2023 Feb 03 03:21:19 PM","2024 Jun 17 10:17:16 AM","Haight Ashbury","8"
